review_id,pc1,pc2,cluster,archetype,k,robustness_score,frac_significant,frac_reversed,pi_ci_ratio,I2,tau2,orb_score,excess_significance,entropy_nei,n_modes,skewness,kurtosis,volatility,n_flips,stabilizes,n_pathologies,correction_pct,pct_sampling,pct_heterogeneity,pct_bias,adversarial_gap,split_verdict,cov_conformal,cov_standard,width_ratio
CD000028,-1.8355,1.8866,2,Healthy,21.0,66.67,0.6667,0.0,1.07,0.0,0.0,10.0,-0.57,0.0952,3.0,-1.946,7.993,5.56,1.0,1.0,2.0,7.0,70.1,0.0,29.9,0.1553,1.0,0.81,0.333,4.643
CD000143,2.0762,-1.155,1,Moderate,12.0,87.55,0.1245,0.0,3.17,70.0,0.3053,40.0,1.9,0.2927,3.0,-0.051,1.903,19.44,6.0,0.0,1.0,7.0,12.8,86.3,0.7,0.1234,1.0,0.75,0.75,0.982
CD000219,1.6333,0.2028,1,Moderate,21.0,49.06,0.4906,0.0,2.82,35.7,0.0264,35.0,1.94,0.1822,4.0,-1.117,14.263,8.33,3.0,1.0,1.0,0.0,14.3,85.2,0.0,0.0408,1.0,0.81,0.667,2.282
CD000478,-2.1805,0.9627,2,Healthy,13.0,69.05,0.6905,0.0,1.12,0.0,0.0,10.0,0.97,0.1239,2.0,-0.741,2.782,10.0,2.0,1.0,1.0,0.0,100.0,0.0,0.0,0.1412,1.0,0.769,0.385,3.622
CD000547,2.1466,0.6077,1,Moderate,48.0,66.6,0.666,0.0,5.39,70.7,0.7851,25.0,-4.48,0.1434,1.0,0.741,0.143,0.83,1.0,1.0,3.0,57.3,1.5,38.6,57.5,0.5351,1.0,0.896,0.875,1.221
CD001155,2.2013,0.8022,1,Moderate,59.0,93.81,0.0619,0.0,4.61,40.5,0.1319,40.0,5.2,0.1165,4.0,0.532,4.332,0.45,0.0,0.0,3.0,4.9,4.9,94.8,0.2,0.0034,1.0,0.881,0.678,1.826
CD001321,3.1565,1.2313,1,Moderate,27.0,57.82,0.5782,0.0,3.91,66.2,0.1057,35.0,0.08,0.166,4.0,-1.759,3.6,14.58,9.0,1.0,3.0,46.0,4.2,54.1,34.2,0.1603,1.0,0.889,0.741,1.369
CD001396,0.9708,1.6017,1,Moderate,30.0,66.67,0.6667,0.0,3.08,28.4,0.0676,15.0,1.52,0.1356,4.0,2.567,10.375,1.39,1.0,1.0,2.0,18.3,4.8,36.6,58.2,0.7502,1.0,0.9,0.7,2.199
CD001431,3.4295,1.6755,1,Moderate,61.0,93.78,0.0,0.0,5.01,64.1,0.0353,65.0,10.86,0.1523,8.0,0.477,21.483,0.43,0.0,0.0,3.0,99.4,4.0,93.0,1.2,0.033,0.0,0.869,0.623,2.316
CD001533,0.2277,2.5409,1,Moderate,21.0,81.67,0.0815,0.0,1.91,16.1,0.0122,50.0,2.02,0.1298,9.0,6.43,109.756,5.56,2.0,0.0,1.0,0.0,31.1,68.7,0.0,0.0371,1.0,0.857,0.524,6.509
CD001703,-1.9027,1.5797,2,Healthy,21.0,68.18,0.6818,0.0,1.07,0.0,0.0,0.0,-0.64,0.0893,1.0,0.499,1.186,5.56,2.0,1.0,1.0,10.7,41.1,0.0,58.9,0.411,1.0,1.0,0.429,6.586
CD001797,-1.9936,-0.1529,2,Healthy,5.0,66.67,0.6667,0.0,1.62,0.0,0.0,25.0,1.02,0.1707,1.0,0.388,0.757,25.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.3221,1.0,1.0,0.4,1.991
CD001837,2.137,1.6294,1,Moderate,49.0,66.67,0.6667,0.0,4.57,45.7,0.0328,25.0,1.5,0.1449,3.0,0.874,3.307,1.09,1.0,1.0,3.0,48.5,2.1,39.0,58.2,0.1644,1.0,0.878,0.653,1.61
CD001909,-2.7697,2.7045,2,Healthy,25.0,100.0,1.0,0.0,1.06,0.0,0.0,10.0,-1.68,0.0827,2.0,0.758,0.537,9.09,4.0,1.0,2.0,0.0,100.0,0.0,0.0,0.0624,0.0,1.0,0.12,8.142
CD002042,3.7444,0.3118,1,Moderate,53.0,100.0,1.0,0.0,6.92,96.3,0.1024,50.0,-3.92,0.267,3.0,-1.219,2.382,1.25,2.0,1.0,3.0,24.3,1.6,71.0,18.0,0.081,0.0,0.962,0.906,2.073
CD002112,2.2888,1.2836,1,Moderate,21.0,66.67,0.6667,0.0,3.0,42.2,0.0275,50.0,2.14,0.1673,3.0,2.166,10.652,8.33,4.0,1.0,3.0,22.7,9.4,65.2,19.7,0.1537,1.0,0.81,0.667,2.308
CD002115,2.3784,-0.7942,1,Moderate,5.0,39.95,0.3995,0.0,3.32,74.8,0.2031,40.0,1.78,0.3068,2.0,2.941,9.126,25.0,1.0,1.0,2.0,50.9,6.7,21.1,67.6,0.5076,1.0,1.0,1.0,0.793
CD002122,5.1715,0.6322,1,Moderate,56.0,48.54,0.012,0.0011,5.41,82.0,0.3445,90.0,12.87,0.1827,2.0,-0.201,6.307,8.02,7.0,0.0,3.0,59.1,3.0,81.4,14.2,0.0,1.0,0.821,0.589,2.045
CD002203,2.3551,0.3876,1,Moderate,50.0,28.23,0.7177,0.0,4.37,38.8,0.104,40.0,4.52,0.105,1.0,0.965,1.644,0.53,0.0,0.0,3.0,60.7,4.9,84.2,7.2,0.1514,1.0,0.88,0.72,2.036
CD002243,4.9013,4.9131,1,Moderate,180.0,49.5,0.495,0.0,5.73,25.8,0.0111,50.0,4.23,0.0766,6.0,-1.529,11.887,3.95,14.0,1.0,2.0,39.4,2.0,63.1,34.7,0.0482,1.0,0.894,0.5,3.442
CD002290,2.591,-0.3381,1,Moderate,16.0,63.4,0.634,0.0,3.79,81.4,0.1187,40.0,0.12,0.2858,1.0,-1.57,2.826,7.69,2.0,1.0,3.0,59.0,2.9,31.8,57.1,0.1101,1.0,0.812,0.812,1.089
CD002303,1.3058,-1.7652,1,Moderate,5.0,64.29,0.6429,0.0,3.05,57.2,0.0268,25.0,-0.5,0.2742,2.0,0.866,0.196,25.0,2.0,1.0,0.0,0.0,28.3,71.3,0.0,0.0318,1.0,1.0,1.0,1.019
CD002971,-1.385,0.7212,2,Healthy,10.0,60.03,0.6003,0.0,1.35,2.9,0.0126,0.0,0.37,0.1297,1.0,-0.11,-0.532,35.71,3.0,1.0,1.0,13.3,50.6,16.3,33.0,0.3868,1.0,1.0,0.4,5.224
CD003218,-3.289,-0.8122,2,Healthy,5.0,66.67,0.0,0.0,1.62,0.0,0.0,0.0,-0.4,0.1464,2.0,2.146,3.487,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.8574,0.0,0.8,0.8,1.4
CD003331,-3.1354,1.6953,2,Healthy,35.0,67.59,0.0,0.0,1.04,0.0,0.0,10.0,-1.06,0.0734,2.0,-0.971,0.413,0.0,0.0,0.0,2.0,75.3,58.4,0.0,41.6,0.2785,0.0,1.0,0.171,8.107
CD003357,1.3894,-1.3641,1,Moderate,7.0,44.84,0.4484,0.0,3.04,66.9,0.2212,15.0,-0.83,0.217,2.0,0.848,-1.095,18.75,2.0,1.0,1.0,20.4,15.5,67.6,0.0,0.1796,1.0,1.0,1.0,1.784
CD003376,-3.2581,0.8572,2,Healthy,15.0,91.67,0.0,0.0,1.1,0.0,0.0,0.0,0.25,0.1265,2.0,-0.929,0.206,0.0,0.0,0.0,1.0,44.9,43.5,0.0,56.5,0.3299,0.0,1.0,0.2,5.991
CD003414,-3.5551,-0.2638,2,Healthy,16.0,61.06,0.0,0.0,1.09,0.0,0.0,15.0,1.32,0.1085,2.0,-1.238,0.927,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.1388,0.0,1.0,0.438,4.636
CD003429,-2.0343,0.2246,2,Healthy,6.0,65.08,0.0635,0.0476,1.42,0.0,0.0,0.0,-0.5,0.1032,2.0,1.295,0.197,0.0,0.0,0.0,1.0,70.6,19.5,0.0,80.5,1.347,1.0,1.0,0.667,3.003
CD003477,-1.2426,-2.1512,3,Pathological,11.0,69.44,0.0,0.0,2.42,31.6,0.0427,0.0,-0.39,0.1953,1.0,-0.329,-0.134,0.0,0.0,0.0,0.0,0.0,22.8,77.2,0.0,0.9867,0.0,0.909,0.818,1.251
CD003511,-3.1819,-0.1117,2,Healthy,8.0,92.95,0.0335,0.0,1.25,0.0,0.0,10.0,0.56,0.1294,2.0,-1.798,3.528,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.1319,1.0,1.0,0.5,5.501
CD003519,1.3375,0.7843,1,Moderate,15.0,52.08,0.5208,0.0,2.51,35.4,0.0166,35.0,1.57,0.1467,3.0,0.443,3.8,8.33,1.0,1.0,3.0,10.6,15.2,63.7,18.2,0.1086,1.0,1.0,0.667,3.249
CD003594,-0.0501,-2.1029,3,Pathological,11.0,87.17,0.1283,0.0,2.69,45.7,0.7249,0.0,0.77,0.2301,1.0,-0.455,1.431,15.62,2.0,0.0,0.0,0.0,18.4,81.5,0.0,0.0,1.0,0.909,0.818,1.359
CD003598,-2.0806,3.2793,2,Healthy,21.0,79.29,0.7929,0.0,1.07,0.0,0.0,20.0,-1.74,0.1128,6.0,0.555,15.86,5.56,1.0,1.0,2.0,0.1,100.0,0.0,0.0,0.0173,1.0,0.905,0.286,10.95
CD003743,-2.1196,-0.1283,2,Healthy,6.0,84.13,0.8413,0.0,1.42,0.0,0.0,0.0,-0.77,0.0507,2.0,-1.01,3.841,16.67,1.0,1.0,1.0,3.7,93.4,0.0,6.6,0.0382,1.0,0.833,1.0,0.462
CD003774,-1.8986,2.9768,2,Healthy,42.0,100.0,1.0,0.0,1.03,0.0,0.0,10.0,0.21,0.0916,2.0,-0.438,0.973,1.28,1.0,1.0,2.0,5.7,36.1,0.0,63.9,0.1783,0.0,0.857,0.19,6.964
CD003962,-2.4176,0.8524,2,Healthy,6.0,85.71,0.1429,0.0,1.42,0.1,0.0002,10.0,-0.45,0.1256,2.0,3.296,13.048,0.0,0.0,0.0,2.0,27.9,63.4,0.5,36.1,0.2191,1.0,0.5,0.5,2.533
CD004184,-0.7602,-0.9861,3,Pathological,7.0,76.19,0.0,0.0,2.2,35.9,0.0397,30.0,0.49,0.1604,4.0,-4.467,28.198,0.0,0.0,0.0,1.0,0.0,35.1,63.6,0.0,0.1001,0.0,1.0,0.714,3.264
CD004307,0.6317,1.33,1,Moderate,42.0,100.0,1.0,0.0,2.93,22.5,0.0343,35.0,1.53,0.1067,3.0,-0.197,3.304,2.56,2.0,1.0,1.0,0.0,12.4,87.6,0.0,0.0211,0.0,0.929,0.452,3.336
CD004376,-2.7647,3.7244,2,Healthy,104.0,100.0,0.0,0.0,1.01,0.0,0.0,10.0,-0.9,0.0739,4.0,0.597,3.058,0.0,0.0,0.0,2.0,76.6,58.8,0.0,41.2,0.1339,0.0,0.885,0.212,12.506
CD004406,-2.253,-0.4558,2,Healthy,6.0,85.71,0.1429,0.0,1.42,0.0,0.0,0.0,-0.39,0.045,2.0,-0.229,-1.483,0.0,0.0,0.0,1.0,58.7,38.0,0.0,62.0,0.2203,1.0,1.0,1.0,0.651
CD004417,2.5288,-0.8719,1,Moderate,17.0,96.3,0.963,0.0,4.05,84.2,0.9622,30.0,0.75,0.3326,1.0,-0.478,-0.024,0.89,1.0,1.0,2.0,9.7,4.7,60.9,32.3,1.7832,1.0,0.882,0.882,0.99
CD004508,0.2717,-2.7035,3,Pathological,6.0,51.7,0.0091,0.0091,3.07,66.6,0.1183,15.0,0.73,0.2874,2.0,0.389,-0.993,0.0,0.0,0.0,0.0,0.0,21.2,78.3,0.0,0.2617,0.0,1.0,1.0,1.584
CD004661,-3.9512,0.3771,2,Healthy,12.0,87.55,0.0,0.0,1.14,0.0,0.0,10.0,-0.43,0.0426,2.0,0.32,-1.736,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0946,0.0,1.0,0.333,3.219
CD004667,0.6823,-0.7066,1,Moderate,16.0,34.08,0.3408,0.0,2.37,25.1,0.0071,25.0,1.49,0.1564,2.0,-2.322,13.781,5.77,1.0,1.0,1.0,19.3,18.6,68.8,12.4,0.013,1.0,0.875,0.812,2.007
CD004736,2.5269,0.679,1,Moderate,14.0,66.24,0.6624,0.0,3.26,82.3,0.3747,65.0,1.91,0.2094,3.0,-2.018,5.467,0.0,0.0,1.0,3.0,55.4,2.7,20.1,70.1,0.4418,1.0,0.857,0.714,1.278
CD004762,2.5276,-0.2686,1,Moderate,5.0,26.98,0.2698,0.0,3.17,79.3,0.036,75.0,1.93,0.246,3.0,-6.561,75.797,6.25,1.0,1.0,2.0,46.7,8.6,24.2,62.4,0.1327,1.0,0.6,0.6,0.68
CD004871,2.2569,-2.776,1,Moderate,5.0,26.46,0.4312,0.1667,3.34,66.6,0.0768,15.0,-0.96,0.3772,1.0,-1.7,1.872,37.5,2.0,1.0,1.0,0.0,23.2,74.8,0.0,0.7534,1.0,1.0,1.0,0.866
CD004925,-1.5713,2.6833,2,Healthy,31.0,66.67,0.6667,0.0,1.04,0.0,0.0,0.0,0.39,0.0933,3.0,-0.519,2.485,1.79,1.0,1.0,1.0,17.6,17.9,0.0,82.1,0.4756,1.0,1.0,0.226,8.335
CD004953,0.1267,-0.8648,3,Pathological,11.0,18.25,0.0,0.0,2.3,32.7,0.0631,20.0,-0.28,0.1436,3.0,0.344,1.933,0.0,0.0,0.0,3.0,1865.9,23.1,68.6,7.9,0.3749,0.0,0.909,0.727,1.532
CD005133,0.8221,2.5831,1,Moderate,39.0,10.99,0.1099,0.0,1.94,7.4,0.0067,20.0,0.96,0.1018,5.0,-2.427,22.298,18.75,9.0,0.0,3.0,45.6,14.7,36.9,48.0,0.0473,1.0,0.795,0.308,5.299
CD005187,-0.5305,-1.3462,3,Pathological,5.0,66.67,0.6667,0.0,2.23,17.5,0.0045,0.0,0.73,0.2124,1.0,0.353,-1.229,0.0,0.0,1.0,1.0,0.0,52.8,47.2,0.0,0.1563,1.0,1.0,1.0,0.972
CD005343,2.6458,1.805,1,Moderate,31.0,66.67,0.6667,0.0,3.19,57.0,0.1491,65.0,2.56,0.1389,4.0,-2.584,9.852,5.36,4.0,1.0,3.0,42.6,5.2,43.5,39.9,0.1797,1.0,1.0,0.548,3.615
CD005495,-2.3699,-0.0669,2,Healthy,9.0,64.29,0.0333,0.0333,1.21,0.0,0.0,0.0,-0.35,0.139,2.0,-0.448,2.475,0.0,0.0,0.0,1.0,169.4,18.6,0.0,81.4,1.2686,0.0,0.889,0.667,2.92
CD005566,-1.9132,7.22,2,Healthy,28.0,90.42,0.9042,0.0,1.05,0.0,0.0,20.0,-1.48,0.0695,5.0,-0.045,3.336,5.0,2.0,1.0,3.0,29.2,16.1,0.0,0.0,0.2002,1.0,1.0,0.071,45.212
CD005595,-3.6286,1.6944,2,Healthy,32.0,100.0,0.0,0.0,1.04,0.0,0.0,10.0,-0.32,0.0878,2.0,-1.404,3.685,0.0,0.0,0.0,2.0,14.9,85.2,0.0,14.8,0.0453,0.0,1.0,0.219,11.51
CD005951,-0.3942,-1.6517,3,Pathological,7.0,79.96,0.0754,0.0,2.29,34.4,0.0579,25.0,1.05,0.2029,2.0,-1.613,3.736,12.5,1.0,0.0,0.0,0.0,32.2,66.3,0.0,0.0072,1.0,1.0,0.714,2.147
CD006023,0.6801,0.156,1,Moderate,18.0,71.93,0.7193,0.0,3.06,49.5,0.2555,10.0,-1.93,0.1071,2.0,-1.142,0.305,1.67,1.0,1.0,2.0,22.1,8.2,57.4,19.1,0.5637,1.0,1.0,0.833,3.174
CD006124,2.0834,-3.3135,3,Pathological,6.0,76.19,0.068,0.0,3.35,80.4,0.4487,60.0,2.83,0.4301,1.0,-0.63,-0.685,0.0,0.0,0.0,0.0,1922.9,8.3,38.2,52.6,0.0,1.0,1.0,1.0,0.686
CD006140,2.445,0.2105,1,Moderate,8.0,39.68,0.3968,0.0,2.93,85.4,0.0204,60.0,0.61,0.1463,3.0,-6.723,46.393,15.0,3.0,1.0,3.0,75.6,4.5,20.2,53.5,0.0,1.0,1.0,0.75,2.588
CD006185,1.4661,1.1711,1,Moderate,78.0,70.46,0.7046,0.0,4.65,28.7,0.1663,0.0,-0.2,0.089,3.0,0.249,-0.464,1.33,2.0,1.0,1.0,8.0,4.6,91.3,4.1,0.1656,1.0,0.897,0.628,1.626
CD006257,-0.901,1.2764,2,Healthy,9.0,89.05,0.0238,0.0,1.93,22.6,0.0216,20.0,-0.56,0.1395,4.0,0.075,30.873,16.67,2.0,0.0,2.0,30.2,35.5,55.0,7.6,0.0,1.0,1.0,0.444,11.985
CD006404,2.7468,2.5737,1,Moderate,112.0,65.05,0.3495,0.0,4.8,27.5,0.0422,50.0,5.59,0.0782,5.0,0.014,6.592,1.15,0.0,0.0,3.0,26.6,4.2,90.6,3.7,0.0163,1.0,0.893,0.482,3.653
CD006475,2.0746,0.8675,1,Moderate,27.0,60.09,0.6009,0.0,2.98,32.4,0.0271,50.0,2.48,0.1424,3.0,-0.116,2.64,9.38,7.0,1.0,1.0,0.0,12.3,87.0,0.0,0.0253,1.0,0.889,0.519,2.312
CD006515,-3.1729,-1.5604,2,Healthy,5.0,72.22,0.0556,0.0556,1.62,0.0,0.0,0.0,-0.21,0.1093,1.0,-0.256,-0.819,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0054,0.0,1.0,1.0,0.869
CD006536,-3.7573,1.497,2,Healthy,43.0,98.48,0.0152,0.0,1.03,0.0,0.0,0.0,-0.48,0.067,2.0,0.467,-0.753,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.4364,1.0,1.0,0.14,7.371
CD006632,3.3905,1.4425,1,Moderate,23.0,76.39,0.7639,0.0,3.29,62.5,0.4923,75.0,5.13,0.2171,5.0,-2.2,21.626,5.0,3.0,1.0,3.0,23.5,7.3,63.1,23.1,0.3465,1.0,0.826,0.565,2.041
CD006689,-0.8643,0.1407,2,Healthy,5.0,16.14,0.1614,0.0,1.62,0.0,0.0,0.0,0.21,0.1643,2.0,1.892,4.456,25.0,1.0,0.0,3.0,34.9,30.8,0.0,69.2,1.4198,1.0,0.8,0.8,1.137
CD006913,2.5162,-0.1237,1,Moderate,29.0,30.85,0.3085,0.0,3.99,70.7,0.0073,35.0,-1.1,0.1583,4.0,-10.493,146.277,6.25,3.0,0.0,4.0,35.6,5.3,71.7,0.0,0.0754,1.0,0.966,0.828,5.2
CD006919,0.4926,0.1297,1,Moderate,19.0,62.38,0.6238,0.0,2.58,26.8,0.12,0.0,-0.02,0.1505,2.0,0.569,0.209,10.94,4.0,1.0,1.0,21.1,14.4,68.6,16.9,0.1477,1.0,0.895,0.684,1.926
CD007024,-2.8101,1.0711,2,Healthy,18.0,91.23,0.0702,0.0,1.08,0.0,0.0,20.0,-0.1,0.079,3.0,-1.26,5.091,0.0,0.0,0.0,2.0,8.5,91.1,0.0,8.9,0.0233,1.0,0.833,0.444,5.767
CD007026,-3.0505,0.5873,2,Healthy,7.0,87.5,0.0417,0.0,1.31,0.0,0.0,10.0,-0.22,0.0805,4.0,2.563,12.688,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0736,1.0,0.571,0.571,1.105
CD007079,1.0425,-0.2374,3,Pathological,10.0,7.65,0.0765,0.0,2.54,55.9,0.0426,35.0,0.58,0.167,3.0,-3.337,14.591,5.36,0.0,0.0,3.0,39.7,12.7,46.5,34.6,0.0,1.0,0.7,0.6,1.418
CD007130,1.2898,0.8932,1,Moderate,26.0,58.32,0.1205,0.0,3.23,47.5,0.0035,30.0,0.76,0.1535,4.0,3.276,17.854,4.35,2.0,0.0,3.0,89.2,6.9,58.4,23.8,0.0036,1.0,0.923,0.654,2.689
CD007310,-3.7497,-1.0172,2,Healthy,7.0,95.83,0.0,0.0,1.31,0.0,0.0,0.0,-0.3,0.0296,1.0,1.082,0.26,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.7611,0.0,0.857,1.0,0.64
